Brand,Title,Assurity,MRP,Stock,Price,Discount,Rating,Image,Product Link
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,Assured Product!,₹999,IN STOCK,₹239,76% off,"67,801 ratings and 2,844 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/s/y/h/m-frml-st25-vebnor-original-imah6xkacm24npcf.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SHTGNGPD66FUYZRT
Sanwara,Men Chikan Embroidery Cotton Blend Straight Kurta  (Blue),Not Assured,N/A,IN STOCK,N/A,0%,ZERO RATING,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/j/j/v/l-sy1-sk-3216-dbu-sanwara-original-imah8kayg2vxzehf.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAH8KAZVDRGBCZP
Kook N Keech,Men Printed Round Neck Cotton Blend Grey T-Shirt,Not Assured,₹599,STOCK OUT,₹360,39% off,ZERO RATING,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/b/e/n/xl-30101961-kook-n-keech-original-imah4zuys4ewhzag.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=TSHH4ZUYWVFHZGH9
IMSA MODA,Men Full Sleeve Printed Sweatshirt,Not Assured,"₹1,499",IN STOCK,₹449,70% off,"1,097 ratings and 82 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/sweatshirt/w/f/f/s-changer-1001-imsa-moda-original-imagsrrzjb5phcah.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SWSGSRSYPHBAY3GR
Sanwara,Men Chikan Embroidery Cotton Blend Straight Kurta  (Grey),Not Assured,N/A,IN STOCK,N/A,0%,ZERO RATING,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/j/t/t/xl-sy1-sk-3216-gr-sanwara-original-imah8kayyynfzj4z.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAH8KAZCC5UGU7J
Sanwara,Men Chikan Embroidery Cotton Blend Straight Kurta  (Green),Not Assured,N/A,IN STOCK,N/A,0%,ZERO RATING,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/r/m/x/xl-sy1-sk-3292-dgn-sanwara-original-imah3zwtmwq8ya6q.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAH3ZWTM2CTNNQA
Shvaas By Vastramay,"Men Geometric Print, Self Design, Woven Design Pure Cotton Straight Kurta  (White, Light Green)",Not Assured,"₹2,399",IN STOCK,"₹1,123",53% off,17 ratings and 1 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/6/6/m/m-vshvmk198gn-shvaas-by-vastramay-original-imaguu9aggyuacra.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAGUU9RFXQFEMPW
Sanwara,Men Solid Cotton Blend Straight Kurta  (Red),Not Assured,"₹1,299",IN STOCK,₹772,40% off,313 ratings and 28 reviews,https://rukminim2.flixcart.com/image/832/832/kufuikw0/kurta/y/y/2/xl-sy-sk-2808-trd-sanwara-original-imag7k7ksfcjp8nu.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAG7K7HJTG9F6SG
FRELURO,Men Solid Cotton Blend Straight Kurta  (Red),Not Assured,₹999,IN STOCK,₹247,75% off,"14,537 ratings and 768 reviews",https://rukminim2.flixcart.com/image/832/832/kvba7bk0/ethnic-set/g/g/w/xxl-kurta-red-being-real-original-imag88utrjxujrmy.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=KTAG88V5FXZ5M2EA
Fashion2wear,Women Cargos,Not Assured,"₹1,999",IN STOCK,₹465,76% off,"1,471 ratings and 87 reviews",No Image Available,https://www.flipkart.com/product/p/item?pid=CRGHFUBEVGSUZ4GH
PYTHON,Women Cargos,Not Assured,"₹1,299",IN STOCK,₹449,65% off,288 ratings and 18 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-cargo/d/5/b/m-ary322-ak-fashion-women-original-imah2htyp9txc4cz.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=CRGH3GVR8EWYADJG
PYTHON,Women Cargos,Assured Product!,"₹1,299",IN STOCK,₹426,67% off,7 ratings and 0 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/cargo/s/r/a/xl-olw-woman-cargo-pants-hariom-traders-original-imah78h3ahbcb84q.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=CRGH78HSGQHHZPF5
PYTHON,Women Cargos,Not Assured,"₹1,299",IN STOCK,₹449,65% off,288 ratings and 18 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-cargo/d/5/b/m-ary322-ak-fashion-women-original-imah2htyp9txc4cz.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=CRGH3GVR8EWYADJG
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,Assured Product!,₹999,IN STOCK,₹239,76% off,"67,801 ratings and 2,844 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/s/y/h/m-frml-st25-vebnor-original-imah6xkacm24npcf.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SHTGNGPD66FUYZRT
TRIPR,Men Solid Mandarin Collar Cotton Blend Multicolor T-Shirt,Not Assured,"₹1,999",IN STOCK,₹259,87% off,425 ratings and 21 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/i/s/i/s-togrblhn-dp1-d145-tripr-original-imah5bp4yrxtjxnp.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=TSHH2XAGGJZZHZNZ
TRIPR,Men Typography Round Neck Cotton Blend Navy Blue T-Shirt,Not Assured,"₹1,999",IN STOCK,₹229,88% off,"2,201 ratings and 138 reviews",https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/1/l/o/m-tnvrn-freestyle-tripr-original-imah2wfangfhzz7j.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=TSHH2W24PAV6H5BR
TRIPR,Printed Men Beige Regular Shorts,Not Assured,"₹1,999",IN STOCK,₹299,85% off,15 ratings and 1 reviews,https://rukminim2.flixcart.com/image/832/832/xif0q/short/x/l/y/s-tbgshort-dp-skullbeard-tripr-original-imah4zhf45ywczra.jpeg?q=70&crop=false,https://www.flipkart.com/product/p/item?pid=SRTH4ZMY7NKDGCRG
